temperature,delta_temp,gas_ppm,heart_rate,accel_magnitude,jerk,risk_score,risk_level
19.92,-0.98,28.36,75.1,1.14,1.22,5.33,Low Risk
33.82,0.08,5.6,91.2,0.93,0.59,1.16,Low Risk
24.33,-0.18,10.55,77.8,1.11,0.68,0.0,Low Risk
23.95,-0.61,0.15,96.2,0.89,1.01,0.0,Low Risk
29.0,0.69,4.84,86.9,0.79,0.52,0.9,Low Risk
33.74,0.43,0.77,64.2,1.0,1.57,4.12,Low Risk
22.92,0.09,8.85,56.3,1.13,1.3,1.12,Low Risk
28.31,0.78,20.41,77.2,1.08,0.25,1.16,Low Risk
30.14,0.43,2.77,70.6,1.13,-0.07,0.0,Low Risk
31.47,-0.31,9.0,86.1,0.81,1.12,0.0,Low Risk
28.88,-0.42,2.74,67.1,1.4,0.57,1.53,Low Risk
26.16,0.51,1.54,68.9,0.91,0.03,0.0,Low Risk
23.86,0.3,8.58,99.0,0.97,0.12,4.31,Low Risk
28.43,0.18,0.99,82.7,0.67,1.02,0.69,Low Risk
22.64,-0.32,10.62,67.4,0.95,0.13,2.76,Low Risk
15.0,0.4,0.38,80.3,1.13,1.66,0.0,Low Risk
30.18,-0.28,1.35,104.8,1.19,-0.3,2.26,Low Risk
32.52,0.05,9.58,85.3,1.39,0.1,2.21,Low Risk
16.19,0.82,10.74,90.7,1.13,-0.24,0.75,Low Risk
22.95,-0.23,0.35,66.5,1.07,-0.48,0.0,Low Risk
31.1,-0.69,10.22,98.5,0.89,-0.14,0.0,Low Risk
38.29,-0.43,21.88,121.7,0.83,0.09,0.0,Low Risk
28.1,0.6,15.38,65.8,1.24,0.16,0.0,Low Risk
24.36,0.23,1.69,58.7,1.24,-1.23,0.0,Low Risk
27.09,0.04,10.77,83.2,0.73,-0.45,0.0,Low Risk
34.87,-0.15,13.39,95.8,1.18,0.64,5.32,Low Risk
24.77,0.34,0.46,78.4,1.16,-0.06,2.84,Low Risk
24.0,-0.32,23.2,61.0,0.72,1.33,0.83,Low Risk
25.59,0.25,28.41,78.0,1.14,0.31,7.21,Low Risk
23.23,-0.27,22.8,90.8,0.74,0.97,0.0,Low Risk
28.61,-0.35,20.89,72.7,0.39,0.2,4.08,Low Risk
36.12,-0.22,16.4,90.9,6.59,32.15,53.85,Medium Risk
29.62,-0.09,12.04,101.0,1.06,-1.37,1.79,Low Risk
26.74,0.08,13.62,84.3,0.97,0.59,0.91,Low Risk
26.54,0.22,19.7,79.5,1.72,1.72,0.79,Low Risk
20.18,-1.74,13.03,94.9,1.09,-0.67,0.0,Low Risk
32.42,-0.3,4.77,64.6,1.04,1.1,0.0,Low Risk
27.61,-0.1,5.66,62.8,1.11,0.81,1.31,Low Risk
27.1,0.85,27.28,75.2,0.89,-0.64,3.34,Low Risk
43.97,-0.44,0.21,71.1,1.23,0.78,13.84,Low Risk
29.49,0.18,14.4,65.5,1.09,0.77,0.0,Low Risk
24.24,0.85,37.15,112.9,1.08,0.43,20.06,Low Risk
25.87,-0.56,14.7,119.1,0.84,1.41,0.0,Low Risk
33.74,0.3,61.22,73.6,5.58,31.79,86.74,High Risk
28.57,-0.3,13.96,81.7,0.87,1.15,0.0,Low Risk
20.81,-0.15,0.42,76.6,1.07,1.62,0.65,Low Risk
32.6,-0.3,21.05,99.9,0.89,-0.15,5.66,Low Risk
24.66,-0.27,4.02,103.5,1.07,0.08,2.32,Low Risk
37.37,1.46,7.09,48.0,0.94,-0.03,26.91,Low Risk
33.4,0.52,4.49,88.6,1.11,0.09,0.09,Low Risk
25.76,0.65,3.75,56.5,0.76,0.11,0.71,Low Risk
34.41,0.35,6.78,111.6,1.05,0.39,2.95,Low Risk
28.34,-0.7,5.71,87.9,0.84,0.19,0.0,Low Risk
32.26,0.3,12.04,65.2,0.62,-0.37,4.37,Low Risk
30.42,0.64,20.13,75.7,0.96,1.14,0.0,Low Risk
23.77,-0.33,4.23,74.8,1.38,-0.2,1.42,Low Risk
24.78,0.58,2.89,89.5,7.2,15.58,48.89,Medium Risk
33.15,0.45,13.19,98.8,1.03,1.15,0.0,Low Risk
26.33,1.03,13.32,59.3,1.2,-0.44,0.0,Low Risk
25.98,-0.11,27.77,113.1,1.58,0.48,3.22,Low Risk
23.22,-0.45,0.19,108.9,0.88,-0.63,3.22,Low Risk
30.12,-0.08,23.01,64.2,0.84,1.52,0.0,Low Risk
38.31,0.82,8.83,81.3,0.71,0.5,8.97,Low Risk
22.66,-0.81,11.65,110.8,1.29,0.47,1.7,Low Risk
28.12,-0.93,1.15,102.2,0.78,0.68,0.0,Low Risk
35.06,0.14,6.8,73.9,7.95,56.34,47.33,Medium Risk
27.6,-0.12,3.09,94.7,0.54,-0.03,0.0,Low Risk
30.26,0.1,3.52,133.9,1.22,0.42,4.48,Low Risk
22.69,0.57,8.42,81.9,1.29,1.5,5.14,Low Risk
30.14,-0.18,20.08,68.6,1.21,0.05,0.0,Low Risk
27.06,-0.84,16.34,83.1,0.6,1.62,0.0,Low Risk
32.93,1.12,10.73,84.4,1.15,0.12,2.7,Low Risk
33.94,-0.4,9.3,70.6,0.58,0.64,2.51,Low Risk
40.95,-0.43,6.69,87.9,1.01,2.07,4.29,Low Risk
30.9,0.65,43.21,57.4,7.79,54.06,73.61,Medium Risk
29.63,-0.09,9.86,68.0,1.08,0.78,3.06,Low Risk
28.97,0.07,3.52,93.6,1.13,1.02,0.57,Low Risk
26.23,0.34,3.14,48.4,1.0,1.3,18.7,Low Risk
29.69,0.64,11.34,96.3,0.51,-0.17,0.78,Low Risk
26.52,-0.07,8.88,43.8,1.13,0.9,22.05,Low Risk
28.84,0.86,0.09,48.8,1.02,0.71,22.69,Low Risk
34.59,-0.97,21.27,71.0,0.77,-1.23,6.13,Low Risk
22.97,0.48,14.61,85.2,4.68,52.4,39.82,Low Risk
33.7,-0.32,13.01,103.9,1.39,-0.29,3.53,Low Risk
34.59,0.79,0.86,81.0,1.31,0.59,5.42,Low Risk
27.41,0.17,5.39,75.6,1.18,1.29,1.85,Low Risk
17.39,-0.24,32.87,90.4,0.83,-0.25,11.74,Low Risk
24.96,0.43,23.82,64.3,0.37,0.4,0.09,Low Risk
34.48,0.55,4.03,82.5,1.19,0.16,3.14,Low Risk
27.89,0.42,2.05,58.4,1.09,1.41,0.0,Low Risk
23.0,-0.41,7.15,81.5,0.91,0.06,0.0,Low Risk
25.48,-0.14,5.28,77.7,1.28,0.67,2.76,Low Risk
32.2,0.1,13.76,65.5,1.21,1.01,1.73,Low Risk
30.73,0.08,40.73,83.0,6.5,46.96,68.68,Medium Risk
26.81,0.47,5.41,82.9,1.01,-0.28,0.0,Low Risk
26.17,-0.91,0.77,101.2,1.01,0.3,1.07,Low Risk
26.04,0.27,27.35,51.1,1.17,1.78,6.97,Low Risk
23.39,-0.04,0.46,78.6,0.79,0.49,0.28,Low Risk
36.08,-0.32,36.63,66.3,1.11,1.32,23.98,Low Risk
26.39,-0.27,13.11,95.7,0.77,2.15,0.0,Low Risk
34.09,-0.01,34.1,93.6,1.33,0.45,15.1,Low Risk
35.61,-1.7,2.67,89.1,3.95,38.19,44.83,Medium Risk
32.99,-0.25,0.5,67.3,0.83,1.26,0.1,Low Risk
25.84,-0.34,8.04,95.9,1.02,-0.59,0.0,Low Risk
30.02,0.37,7.19,52.5,0.79,0.82,0.0,Low Risk
27.88,-0.3,4.83,48.8,1.38,1.7,20.41,Low Risk
23.48,-0.01,37.94,57.0,1.41,-0.76,16.9,Low Risk
29.62,0.87,20.75,79.4,1.17,0.41,0.34,Low Risk
22.1,0.6,13.0,92.2,1.39,0.59,0.0,Low Risk
33.94,0.55,2.13,40.0,1.04,0.42,23.24,Low Risk
25.68,-0.15,15.91,103.8,1.19,0.34,0.0,Low Risk
29.01,0.37,15.58,82.4,1.31,-0.39,2.16,Low Risk
29.42,-0.02,6.64,51.8,1.0,0.81,0.0,Low Risk
26.71,0.0,31.05,81.8,7.6,18.68,56.58,Medium Risk
30.93,0.3,2.19,99.7,1.23,-0.08,0.86,Low Risk
25.63,-0.2,3.73,90.8,1.16,-1.01,1.18,Low Risk
32.36,0.85,0.78,99.8,0.81,-0.64,0.0,Low Risk
21.27,0.02,19.04,55.4,0.45,1.68,1.09,Low Risk
28.63,0.41,11.67,72.5,0.96,0.56,0.38,Low Risk
37.69,0.83,4.54,63.4,0.48,1.09,6.24,Low Risk
23.0,0.62,2.15,110.9,0.75,-0.21,1.54,Low Risk
24.61,-0.6,0.49,91.5,0.78,-1.06,0.0,Low Risk
30.57,0.32,2.19,131.2,0.86,-0.03,5.68,Low Risk
28.9,0.53,7.25,71.6,1.21,-1.03,0.0,Low Risk
29.75,0.55,3.41,67.0,1.26,-0.06,0.0,Low Risk
30.45,-0.46,3.6,77.4,1.13,1.42,3.39,Low Risk
31.17,-0.23,25.01,104.8,1.16,0.42,1.57,Low Risk
33.55,0.6,8.69,73.4,1.16,1.66,3.23,Low Risk
30.05,-0.28,15.68,82.2,0.38,0.96,0.0,Low Risk
26.79,-0.05,0.44,81.7,1.0,1.35,0.13,Low Risk
31.36,0.89,5.45,80.7,0.55,0.31,0.0,Low Risk
37.5,0.08,7.83,68.3,1.13,-0.61,10.03,Low Risk
27.34,-0.26,2.48,77.5,0.48,-0.31,0.0,Low Risk
23.13,-0.34,1.54,76.8,0.95,1.48,0.0,Low Risk
33.54,0.27,24.51,79.9,1.14,0.64,3.75,Low Risk
27.4,-0.57,33.65,97.0,0.72,-0.6,14.76,Low Risk
17.14,-0.02,0.99,111.7,1.24,1.02,0.0,Low Risk
32.24,0.27,5.15,64.9,1.13,-0.75,1.65,Low Risk
25.32,0.75,38.12,72.9,7.76,17.87,65.45,Medium Risk
27.55,0.43,1.04,65.1,1.17,0.29,0.0,Low Risk
29.66,-0.26,12.38,83.4,0.91,1.05,0.0,Low Risk
28.95,0.69,43.0,70.3,1.04,0.29,21.77,Low Risk
31.55,-0.05,45.92,84.3,1.0,1.08,33.41,Low Risk
25.82,-0.52,7.65,99.9,1.0,-0.72,0.49,Low Risk
30.57,0.01,2.13,40.0,0.83,0.77,21.82,Low Risk
26.7,0.82,2.71,88.9,0.69,0.14,0.0,Low Risk
31.69,0.18,26.44,71.7,7.94,51.68,46.03,Medium Risk
31.08,0.11,29.12,88.3,0.9,0.25,5.56,Low Risk
23.32,0.92,11.23,63.9,0.82,-0.22,0.0,Low Risk
33.43,-0.62,17.44,101.5,1.21,0.42,6.88,Low Risk
25.32,-0.54,16.16,96.4,0.71,1.49,0.79,Low Risk
32.04,-0.71,13.01,90.2,0.96,0.02,1.41,Low Risk
29.84,0.29,21.07,94.3,5.44,15.43,41.75,Medium Risk
37.19,0.18,13.88,66.6,1.23,-0.04,7.95,Low Risk
26.88,0.87,9.16,68.8,1.3,-1.07,1.36,Low Risk
26.25,0.22,3.25,93.5,0.85,0.56,0.0,Low Risk
27.9,-0.1,16.35,66.2,1.2,3.61,2.8,Low Risk
26.48,0.1,7.7,106.0,7.69,43.55,43.35,Medium Risk
32.0,0.16,4.19,74.2,0.93,1.27,2.43,Low Risk
19.92,-0.74,19.43,89.0,0.95,-1.4,2.34,Low Risk
22.73,1.46,14.32,117.8,0.86,0.46,4.17,Low Risk
22.66,0.36,33.24,67.3,0.91,-0.61,8.05,Low Risk
32.75,0.21,2.17,81.2,0.88,0.85,3.29,Low Risk
36.55,0.41,12.57,99.0,0.75,0.06,5.5,Low Risk
27.48,0.45,3.36,97.1,1.21,0.03,1.79,Low Risk
27.16,0.03,28.07,74.1,0.95,-0.41,6.07,Low Risk
28.35,-0.22,1.26,70.7,1.05,-1.22,0.0,Low Risk
33.81,0.4,12.81,75.8,1.04,0.26,4.14,Low Risk
23.36,0.29,18.79,106.1,5.1,58.33,44.32,Medium Risk
29.19,-0.3,5.26,75.0,1.02,0.17,0.0,Low Risk
32.88,0.81,36.99,81.4,5.38,19.39,57.15,Medium Risk
30.51,0.25,22.82,72.3,1.35,-0.17,2.82,Low Risk
28.95,0.46,4.19,92.7,1.19,0.6,0.0,Low Risk
33.01,0.8,0.09,82.8,1.0,0.33,0.0,Low Risk
15.0,0.11,4.22,61.9,0.89,1.16,0.63,Low Risk
31.39,0.26,3.96,62.6,0.97,2.4,0.21,Low Risk
24.73,0.51,26.48,44.0,1.1,0.68,20.24,Low Risk
18.85,-0.26,40.98,65.0,1.37,1.39,20.57,Low Risk
30.56,0.13,0.88,94.3,0.66,0.6,2.22,Low Risk
34.87,0.16,7.65,103.8,1.16,0.87,4.73,Low Risk
27.31,-0.38,9.54,92.3,1.28,0.24,0.0,Low Risk
32.76,1.26,1.17,90.0,0.63,0.42,0.38,Low Risk
36.06,-0.6,5.69,77.7,0.95,-0.14,5.36,Low Risk
34.57,-0.55,4.58,93.9,0.73,1.63,0.51,Low Risk
36.2,0.76,9.22,85.2,1.11,1.27,8.18,Low Risk
31.71,0.46,12.99,112.5,0.91,0.7,0.0,Low Risk
28.38,-0.41,14.59,78.2,0.97,-0.32,0.0,Low Risk
19.99,0.4,1.76,104.2,0.9,0.36,1.12,Low Risk
26.77,0.83,20.12,95.7,1.18,1.27,2.49,Low Risk
23.78,0.08,13.62,93.2,1.06,2.46,0.4,Low Risk
38.85,1.4,26.39,43.8,1.06,0.56,28.89,Low Risk
27.12,-0.76,7.16,96.7,1.04,1.48,0.0,Low Risk
28.62,0.45,26.92,77.7,1.14,0.64,2.55,Low Risk
30.76,0.68,24.1,72.0,0.93,1.52,0.0,Low Risk
28.22,0.55,6.92,53.3,1.43,-1.17,0.95,Low Risk
36.48,-0.0,5.76,79.9,0.69,-0.19,8.03,Low Risk
24.89,-0.05,32.4,80.6,0.57,0.75,10.55,Low Risk
28.97,0.32,15.07,56.5,0.55,-0.47,0.0,Low Risk
24.29,0.51,31.61,53.5,0.48,0.84,9.68,Low Risk
21.4,0.4,19.13,88.8,1.17,0.53,2.05,Low Risk
24.94,0.62,11.28,95.7,1.14,-0.78,0.0,Low Risk
27.81,-0.41,1.48,83.4,1.3,-0.93,1.59,Low Risk
25.85,-0.01,4.13,100.7,0.74,0.77,0.86,Low Risk
24.54,-0.37,41.62,78.4,1.19,-0.42,19.49,Low Risk
20.97,-0.09,4.62,79.0,3.7,49.36,40.28,Medium Risk
27.58,0.61,1.17,63.5,1.04,1.0,1.05,Low Risk
20.48,0.15,14.75,51.9,1.16,0.43,0.27,Low Risk
31.8,1.4,15.89,113.4,0.81,0.16,1.88,Low Risk
28.41,0.2,4.03,100.4,1.65,-0.71,0.47,Low Risk
20.71,0.13,4.24,54.9,1.33,1.7,1.3,Low Risk
26.45,0.15,7.59,82.8,0.87,1.14,0.0,Low Risk
24.24,-0.22,0.26,78.2,0.73,-0.02,0.67,Low Risk
29.6,0.07,18.69,75.1,0.98,-0.22,0.0,Low Risk
34.7,0.66,4.58,72.6,1.05,0.05,5.79,Low Risk
18.62,0.16,23.07,86.9,1.27,-0.28,0.54,Low Risk
28.58,-0.3,19.47,94.7,0.71,0.26,0.0,Low Risk
27.2,-0.36,13.0,87.2,1.07,1.39,0.0,Low Risk
31.36,-0.13,4.71,77.8,0.62,1.31,5.0,Low Risk
29.07,0.14,8.72,77.2,1.11,1.31,0.0,Low Risk
24.24,0.7,7.06,96.9,0.97,-0.54,0.0,Low Risk
26.4,-0.57,4.97,88.3,1.48,-0.33,0.0,Low Risk
24.02,-0.06,22.62,81.3,0.61,1.27,0.0,Low Risk
33.38,0.17,7.93,79.4,1.34,0.86,0.12,Low Risk
28.11,-0.82,21.46,86.2,0.57,0.15,4.04,Low Risk
37.51,-0.32,1.33,71.6,0.67,1.07,8.99,Low Risk
27.7,-0.24,1.82,94.8,0.58,0.9,0.0,Low Risk
24.46,-0.3,45.44,60.6,1.06,-0.73,28.65,Low Risk
20.43,0.2,10.63,72.6,0.71,-1.31,2.06,Low Risk
18.98,0.02,8.55,91.0,0.66,0.49,0.85,Low Risk
20.08,-0.18,8.89,59.6,1.05,-1.23,0.0,Low Risk
29.34,0.31,2.91,51.7,1.11,1.38,1.3,Low Risk
30.54,0.96,15.22,81.1,1.01,0.91,0.06,Low Risk
20.09,0.92,1.06,49.5,0.96,0.21,20.43,Low Risk
32.48,-0.86,10.22,56.6,1.46,-0.49,4.42,Low Risk
25.58,0.39,10.15,93.6,1.04,-0.25,0.0,Low Risk
28.73,0.01,29.47,76.3,1.2,-1.92,4.85,Low Risk
36.06,0.18,8.96,103.1,1.04,1.62,2.63,Low Risk
32.48,-0.1,1.77,58.3,0.73,0.66,0.0,Low Risk
26.66,0.16,10.2,78.3,1.14,0.36,0.0,Low Risk
23.54,0.18,1.15,87.2,0.84,1.97,0.0,Low Risk
17.24,-0.19,2.73,58.9,0.98,-0.26,1.34,Low Risk
24.4,-0.35,0.38,98.6,1.08,0.34,1.01,Low Risk
26.94,-0.12,8.64,89.2,0.51,-0.06,0.0,Low Risk
23.06,0.22,1.06,51.0,0.6,2.16,0.0,Low Risk
27.34,0.4,7.6,79.3,1.23,0.27,0.5,Low Risk
28.38,0.53,32.43,86.9,0.83,0.65,11.65,Low Risk
26.88,-0.15,15.27,69.4,0.85,1.8,3.53,Low Risk
24.75,0.24,0.97,53.4,1.04,1.37,0.7,Low Risk
28.84,0.58,3.05,85.0,0.9,-0.8,0.92,Low Risk
30.21,0.68,13.44,119.8,1.1,0.25,0.34,Low Risk
22.55,0.07,27.01,73.0,0.99,0.44,2.43,Low Risk
35.05,-0.01,0.4,108.2,1.05,0.63,6.15,Low Risk
27.51,0.2,20.08,66.5,0.82,0.75,0.0,Low Risk
28.09,-0.47,9.9,83.9,1.05,-0.22,0.0,Low Risk
31.54,0.0,9.48,93.9,1.28,1.72,0.0,Low Risk
29.17,0.47,37.99,79.8,0.86,0.86,17.59,Low Risk
32.77,0.42,16.52,74.6,1.23,1.02,1.82,Low Risk
29.44,-0.04,22.77,93.1,0.99,1.6,1.25,Low Risk
24.94,0.21,5.24,114.0,1.18,0.72,0.0,Low Risk
29.81,-0.31,9.7,85.4,1.03,0.33,0.42,Low Risk
22.28,0.45,11.47,70.7,0.99,0.21,0.0,Low Risk
28.54,0.06,4.66,76.6,1.09,0.32,1.26,Low Risk
27.83,-0.04,10.13,125.4,1.3,0.37,2.94,Low Risk
26.96,-0.08,3.24,82.4,1.06,-1.03,1.1,Low Risk
27.36,0.07,1.86,69.3,1.12,0.0,0.0,Low Risk
18.59,-0.12,5.62,59.4,0.91,-0.37,2.05,Low Risk
25.26,0.43,16.13,47.1,7.95,27.56,62.53,Medium Risk
28.46,-0.1,29.75,86.5,1.16,0.63,7.25,Low Risk
28.8,0.9,7.34,91.8,1.02,0.85,5.66,Low Risk
22.86,0.83,12.35,72.9,0.97,-0.19,0.0,Low Risk
34.33,-0.35,1.3,79.7,1.24,0.28,2.85,Low Risk
23.67,0.13,28.18,58.9,0.85,0.95,4.01,Low Risk
32.85,-0.23,10.09,82.4,0.55,0.26,0.0,Low Risk
30.14,-0.06,18.19,88.7,1.02,0.39,0.0,Low Risk
24.77,1.1,18.98,70.4,1.3,0.3,0.06,Low Risk
36.88,-0.05,3.56,110.4,1.4,0.98,10.53,Low Risk
22.03,0.28,9.04,64.9,0.97,0.49,0.96,Low Risk
32.6,0.37,38.77,85.1,1.01,0.24,22.42,Low Risk
33.0,-0.4,1.13,95.3,1.13,0.12,3.18,Low Risk
24.65,-0.33,13.79,78.6,0.93,-0.17,0.69,Low Risk
34.96,-0.5,39.33,76.6,1.13,0.98,20.92,Low Risk
26.75,-0.34,4.29,54.3,0.98,0.95,3.23,Low Risk
29.44,-1.33,23.72,104.4,1.25,0.5,2.06,Low Risk
29.3,0.37,32.56,76.9,1.18,1.25,11.14,Low Risk
27.33,1.13,16.5,89.7,1.2,0.51,0.0,Low Risk
32.05,0.17,3.16,92.1,0.95,0.76,0.0,Low Risk
31.97,-0.61,4.88,68.7,7.78,53.2,42.6,Medium Risk
19.26,-0.22,0.44,76.4,1.12,1.46,0.0,Low Risk
34.52,-0.13,21.37,104.0,1.06,0.63,4.52,Low Risk
19.69,-0.41,22.73,59.9,0.81,0.81,0.0,Low Risk
33.16,0.53,12.02,118.3,0.98,0.55,1.93,Low Risk
33.63,0.51,5.22,66.6,1.03,0.57,3.56,Low Risk
22.55,-0.48,0.96,58.8,7.56,40.34,47.62,Medium Risk
25.95,0.46,16.78,82.4,0.93,-1.14,0.0,Low Risk
22.47,0.86,15.56,119.8,3.94,19.71,28.09,Low Risk
26.93,1.05,29.25,45.6,1.01,-0.07,24.34,Low Risk
26.46,1.53,15.74,77.5,0.56,0.31,1.21,Low Risk
31.9,-0.35,21.17,88.6,0.97,-0.02,1.67,Low Risk
34.55,1.51,16.44,80.6,0.91,1.16,5.55,Low Risk
34.98,-0.08,11.95,86.9,0.99,-0.13,3.08,Low Risk
25.19,-0.2,6.68,67.1,1.26,0.26,0.65,Low Risk
26.95,0.26,27.89,69.2,1.51,-0.02,7.08,Low Risk
19.58,-0.19,12.63,77.3,1.17,-0.09,1.5,Low Risk
23.97,0.3,6.1,59.7,0.69,-0.08,0.0,Low Risk
32.82,-0.56,1.05,79.2,0.91,-0.49,1.14,Low Risk
36.08,-0.02,4.12,73.0,1.15,0.05,5.45,Low Risk
21.83,0.74,9.42,71.5,1.12,0.65,0.0,Low Risk
25.04,0.07,3.87,85.8,1.25,-0.23,2.94,Low Risk
27.87,0.17,3.0,47.2,0.98,0.6,17.23,Low Risk
29.4,0.34,8.99,75.9,0.91,0.92,0.0,Low Risk
23.95,0.69,2.23,121.7,1.44,0.39,2.62,Low Risk
30.12,-0.73,19.34,60.5,1.01,-0.45,0.0,Low Risk
25.63,0.39,7.95,103.1,0.75,-0.91,0.0,Low Risk
27.93,-0.03,10.24,81.0,1.37,1.15,0.98,Low Risk
30.73,0.18,1.91,69.1,0.63,1.73,0.0,Low Risk
28.03,0.63,4.71,56.2,0.13,1.63,0.0,Low Risk
25.82,-0.5,6.33,82.5,1.19,0.74,0.6,Low Risk
27.45,-0.41,19.82,106.2,1.23,0.75,1.27,Low Risk
27.56,-0.87,17.64,73.0,1.1,0.33,1.57,Low Risk
26.15,-0.17,3.03,78.5,0.67,0.31,0.0,Low Risk
26.71,0.77,11.49,98.2,0.99,-0.08,0.0,Low Risk
35.99,0.04,3.35,86.1,0.93,-0.18,7.7,Low Risk
30.8,-0.57,53.32,51.7,0.87,-1.0,38.49,Low Risk
26.52,-0.14,36.47,81.8,1.35,1.06,21.25,Low Risk
31.48,-0.64,9.94,107.2,0.74,0.94,6.26,Low Risk
26.33,-0.46,14.4,79.3,1.08,0.2,3.52,Low Risk
33.87,0.29,19.4,40.0,1.3,1.51,20.73,Low Risk
29.85,-0.49,15.32,87.0,1.1,2.29,0.0,Low Risk
27.46,0.66,14.44,76.4,1.31,-0.69,1.29,Low Risk
30.24,0.06,38.2,47.1,1.14,0.95,39.41,Low Risk
20.15,0.14,10.89,49.8,1.11,0.48,19.66,Low Risk
22.37,-0.04,12.14,97.6,1.09,1.79,2.65,Low Risk
22.03,0.49,22.71,66.8,1.15,0.08,0.0,Low Risk
28.71,0.49,13.3,63.7,0.9,1.35,0.45,Low Risk
36.66,0.27,15.84,79.4,0.67,1.05,7.15,Low Risk
39.16,0.38,3.2,68.4,1.24,1.42,5.76,Low Risk
31.19,-0.01,5.57,81.8,1.29,-0.08,1.1,Low Risk
30.5,0.37,1.91,76.4,1.06,0.19,0.0,Low Risk
18.99,-0.07,8.46,58.4,0.86,0.92,0.0,Low Risk
25.29,0.1,7.3,70.8,0.61,1.41,0.0,Low Risk
24.06,-0.04,70.38,88.0,1.02,0.68,41.61,Medium Risk
24.9,-0.13,11.34,80.8,0.66,-1.02,0.99,Low Risk
27.16,-0.24,18.53,78.5,0.63,1.45,0.0,Low Risk
25.64,0.33,4.88,114.9,0.99,1.54,0.58,Low Risk
18.1,0.76,21.37,93.2,0.81,0.06,0.54,Low Risk
31.74,0.69,11.46,95.3,1.09,1.18,0.0,Low Risk
22.64,-0.53,14.33,77.0,0.96,0.89,0.0,Low Risk
29.2,0.74,4.19,84.0,0.85,-0.21,0.0,Low Risk
38.37,-0.06,9.55,72.2,0.57,1.21,0.0,Low Risk
23.4,0.4,12.06,94.0,0.79,0.47,2.44,Low Risk
15.35,-0.35,10.67,78.0,5.44,57.02,45.4,Medium Risk
26.57,0.17,29.61,84.0,4.61,21.7,43.34,Medium Risk
33.5,0.26,27.43,82.9,0.92,2.19,6.41,Low Risk
37.79,-0.64,42.48,79.7,5.75,27.18,79.09,High Risk
21.85,0.4,13.21,132.9,0.96,0.74,6.34,Low Risk
30.48,0.77,42.87,68.0,1.06,0.71,27.7,Low Risk
25.67,0.01,21.44,67.8,0.79,-0.42,0.7,Low Risk
27.47,0.78,3.79,92.5,1.11,1.32,4.29,Low Risk
41.22,0.01,6.69,69.3,0.66,-0.37,7.9,Low Risk
20.49,0.52,3.27,74.8,0.72,0.57,2.43,Low Risk
29.27,-1.01,0.05,60.4,7.93,35.37,43.94,Medium Risk
30.34,1.31,2.5,88.8,1.17,-0.32,0.11,Low Risk
33.43,0.85,0.05,89.1,1.22,0.8,3.49,Low Risk
28.49,-0.04,15.27,74.3,1.4,-0.07,0.43,Low Risk
29.54,-0.89,6.65,92.9,0.91,1.52,0.58,Low Risk
26.04,0.24,4.5,46.6,7.29,16.19,65.5,Medium Risk
29.35,-0.62,17.21,67.3,0.74,1.19,2.61,Low Risk
26.28,0.32,21.44,76.9,0.69,1.14,0.2,Low Risk
31.11,0.31,44.41,58.9,1.06,1.45,25.99,Low Risk
26.15,-0.37,12.33,48.5,0.81,0.27,19.9,Low Risk
29.89,0.66,7.43,74.5,1.31,0.4,2.59,Low Risk
27.85,0.5,4.37,92.5,0.63,-0.21,1.71,Low Risk
33.63,0.59,3.02,103.1,1.12,0.61,2.23,Low Risk
27.74,0.1,2.87,70.1,7.09,34.26,43.45,Medium Risk
19.13,-0.61,6.32,93.2,4.38,27.98,37.13,Low Risk
34.31,0.59,57.62,91.5,1.13,-0.23,40.72,Medium Risk
23.47,-0.04,0.01,101.9,0.83,0.15,0.0,Low Risk
24.73,-0.59,2.64,73.7,6.41,23.9,43.54,Medium Risk
25.02,0.78,2.5,47.6,0.8,0.9,21.9,Low Risk
34.87,1.15,15.15,81.3,1.45,-0.42,3.17,Low Risk
17.32,0.08,5.22,61.8,0.85,0.02,0.0,Low Risk
43.69,1.18,7.33,67.0,1.01,0.25,19.73,Low Risk
33.28,0.15,1.93,74.6,4.31,44.11,46.95,Medium Risk
29.12,-0.09,6.23,73.9,1.06,0.66,0.0,Low Risk
27.73,-0.22,1.31,82.5,4.69,37.91,44.75,Medium Risk
29.43,0.92,9.14,92.7,0.95,0.39,0.0,Low Risk
30.61,-0.29,1.24,73.4,1.1,0.57,0.0,Low Risk
31.23,0.47,18.76,87.1,0.78,-0.13,0.0,Low Risk
30.78,-0.18,10.03,80.3,1.27,1.7,1.18,Low Risk
28.45,-0.13,15.45,96.8,1.3,0.83,0.02,Low Risk
27.01,0.62,6.51,76.6,1.15,0.27,5.24,Low Risk
27.24,-0.09,5.77,78.6,1.02,1.48,1.38,Low Risk
27.03,-0.1,1.24,73.3,0.25,0.8,0.81,Low Risk
33.67,0.67,8.9,77.1,1.11,0.68,1.9,Low Risk
30.97,0.9,8.67,65.9,0.9,0.5,0.0,Low Risk
15.0,0.42,7.58,64.1,0.94,1.31,2.02,Low Risk
31.28,-0.23,16.19,94.0,0.53,1.79,0.0,Low Risk
28.97,-0.16,21.44,60.5,1.12,1.3,2.25,Low Risk
27.91,0.14,16.67,74.3,0.64,0.53,2.33,Low Risk
26.06,0.26,1.86,98.3,1.03,1.57,0.0,Low Risk
33.62,-0.39,11.68,73.7,1.23,0.29,4.74,Low Risk
